,Event URL,Event Name,Event Description,Performer Name,Event Start DateTime,Event End DateTime,Location,Address,Price
0,https://insider.in/india-bike-week-2019-dec6-7-19/event,India Bike Week 2019,"It's more than a hobby.It's more than a passion.In India, biking has achieved a new state. It's wild.India Bike Week embodies this love in one insane weekend of revelry, bonding and respect.And this year we're calling everyone from the casual to the hardcore, from the non-stop ravers to the adrenaline cravers and all those in between, to their true home land.A land where character is currency.And where every journey finds one hell of a destination.Welcome to the land of the wild.India Bike Week 2019

KTM Orange Pass – Exclusive offer for KTM Riders. Visit ktmindiabikeweek.com
Highlights:
Flat Track Timed TrialHill Climb TrialsEnduro TrackFMX Show and StuntsBike and Brand LaunchesIBW Bike Build OffBikers Mart – India’s biggest biking expoMod-Bike, Barn DisplayBig Trip SpeakersHonour RollIBW Motovlogger MeetIBW Club VillageMoto MobMoto FashionMoto ArtIBW Film FestivalContests - Beard & Tattoo Contest, King & Queen of Clubs, Drinking Games, Strongman GamesWheelie MachineMusicParadesFood & BarsAfter PartiesAnd much more…

To know more, Follow India Bike Week on:WebsiteFacebookInstagramTwitter
For club/bulk booking offers call Karl: +91 9820276511 / 022 66022700 or email karlbillimoria@seventyemg.com",Seventy Emg,2019-12-06T08:30:00.000Z,2019-12-07T16:30:00.000Z,"Little Vagator Hills, Bardez, Goa","Ozran Beach Road, Bardez, Vagator, Goa 403509",INR 600-2500
1,https://insider.in/oneplus-music-festival-nov16-2019/event,"OnePlus Music Festival, 2019","A mix of prime international acts in a concert setting never seen before in India, with some of our homegrown Indian artists. This year, we merge the best in music and the power of tech to bring you an immersive experience, curated and designed by OnePlus. A celebration of music and community. This is OnePlus Music Festival. Line Up includes Katy Perry, Dua Lipa, Ritviz, Amit Trivedi, The Local Train, AWKS
Shuttle ServicePlan your travel to the OnePlus Music Festival in advance. Book your Shuttle Tickets here. Multiple pickup points to decide from. 
SuperFan Ticket InclusionsOne Reserved Super Fan Pit Ticket (Closet Zone to the  Stage)One Exclusive Pre-Show Backstage TourOne Premium OPMF Merchandise GiftOne Commemorative Super Fan Laminate and Matching LanyardOne Pre-loaded RFID Worth 5000 INR",OnePlus,2019-11-16T08:30:00.000Z,2019-11-16T16:30:00.000Z,D.Y. Patil Stadium,"Dy Patil Vidyanagar Campus 4 B Sector 7, Nerul, Sector 7, Nerul, Navi Mumbai, Maharashtra 400706",INR 10-200000
2,https://insider.in/zomaland-pune-2019/event,Zomaland - Pune,"Come one, come all
To the grandest carnival of em’ all!
After a brilliant debut season, Zomaland, India’s grandest food & entertainment carnival, is back for Season two!

With stunning attractions making every corner picturesque, incredible entertainment that set an electrifying vibe, world class chefs & mixologists, and above all, great food curated into multiple cuisine-based zones, all under one roof - Zomaland 2.0 will be bigger, grander & better! It will be the most magnificent showcase of food, music, art, comedy & games the country has ever seen!
Come on down to the grandest carnival in town to sample delicacies from the best eateries across the city, and get into the festive spirit as some of the best entertainers hit the stage to make you laugh, sway, groove and be amazed!
Think music, entertainment, games - Zomaland will have it all. Replete with food for every palate, games for all age groups, music for all ears and incredible attractions to please every eye (and camera, of course!), it's a spectacle that you’re not going to want to miss.

Here’s a little bit more about what Zomaland has in-store -
Great Food & Countless CuisinesFrom sushi to salad,There will be food for every palate!
Stunning AttractionsWith larger than life attractions all through,There will be plenty of photo opportunities for you!
Incredible EntertainmentThey've got music that’ll make you sing and sway,And performances that’ll light up your day!
And much much more!",Zomato,2019-11-15T06:30:00.000Z,2019-11-15T16:30:00.000Z,"Royal Palms, Pune","84/36, N Main Rd, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411001",INR 99-599
3,https://insider.in/bacardi-nh7-weekender-pune-2019-112919/event,"Bacardi NH7 Weekender 2019, Pune","​The happiest music festival is back, and we’re celebrating year 10. 
10 years of bringing wonderful music and the happiest weekend of the year to our fans across the country!
We’re coming back home to Pune to celebrate one decade of joy and music with a festival for the books, from 29 Nov - 1 Dec.  

Get your tickets now before prices go up. We also have special priced tickets for our fans below 21 years of age Come on over to Bacardi NH7 Weekender to catch amazing live performances by artists from India and around the world, a bustling bazaar where you can get local finds, fashion and food, and much more with an unmistakable vibe to boot! One great weekend, a lifetime of memories.​





",OML,2019-11-29T09:30:00.000Z,2019-12-01T16:30:00.000Z,"Mahalakshmi Lawns, Pune, Airport Area","Nagar Road, Near Kharadi Bypass, Opp Lohagaon-Wagholi, Octrol Naka, Pune International Airport Area, Lohgaon, Pune, Maharashtra 411047",INR 0-5500
4,https://insider.in/india-bike-week-2019-dec6-7-19/event,India Bike Week 2019,"It's more than a hobby.It's more than a passion.In India, biking has achieved a new state. It's wild.India Bike Week embodies this love in one insane weekend of revelry, bonding and respect.And this year we're calling everyone from the casual to the hardcore, from the non-stop ravers to the adrenaline cravers and all those in between, to their true home land.A land where character is currency.And where every journey finds one hell of a destination.Welcome to the land of the wild.India Bike Week 2019

KTM Orange Pass – Exclusive offer for KTM Riders. Visit ktmindiabikeweek.com
Highlights:
Flat Track Timed TrialHill Climb TrialsEnduro TrackFMX Show and StuntsBike and Brand LaunchesIBW Bike Build OffBikers Mart – India’s biggest biking expoMod-Bike, Barn DisplayBig Trip SpeakersHonour RollIBW Motovlogger MeetIBW Club VillageMoto MobMoto FashionMoto ArtIBW Film FestivalContests - Beard & Tattoo Contest, King & Queen of Clubs, Drinking Games, Strongman GamesWheelie MachineMusicParadesFood & BarsAfter PartiesAnd much more…

To know more, Follow India Bike Week on:WebsiteFacebookInstagramTwitter
For club/bulk booking offers call Karl: +91 9820276511 / 022 66022700 or email karlbillimoria@seventyemg.com",Seventy Emg,2019-12-06T08:30:00.000Z,2019-12-07T16:30:00.000Z,"Little Vagator Hills, Bardez, Goa","Ozran Beach Road, Bardez, Vagator, Goa 403509",INR 600-2500
5,https://insider.in/supermoon-ft-prateek-kuhad-winter-tour-pune-oct25-2019/event,Supermoon ft. Prateek Kuhad Winter Tour 2019 - Pune,"Abhi toh Pune show baaki hai...aur Raat Raazi hai!
Here's some good news for all you Prateek Kuhad fans - Now you can get 3 tickets for the price of 2

After taking over the comedy scene, Zee Live's Supermoon is ready for Music!

Hosting the India leg of Prateek Kuhad's Winter Tour, Supermoon is all saddled up to venture into the world of music. Are you excited yet?
  
Prateek Kuhad’s Winter Tour is going to be his most ambitious one till date. He will be performing 30 shows across 8 countries, including USA, Canada, UK, France, Germany, Belgium, The Netherlands, Spain and India, where he will be starting and ending the tour across 11 cities.

Watch him Live at his Winter Tour with Zee Live’s Supermoon and see him work his magic.

Book your tickets on PayTM Insider

About Supermoon
Supermoon is an Intellectual Property of ZEE LIVE, a division of ZEE Entertainment Enterprises Limited (ZEEL), that has been curated with an objective of bringing the leading international entertainment acts from comedy, music, theatre, etc. to India. Supermoon is a phenomenon which aims to give Indian audiences an experience which is enriching and fulfilling to the soul.

About Prateek Kuhad
Hailed by Rolling Stone India as “one of the country’s leading singer-songwriters,” Prateek Kuhad has taken the rest of the world by storm in recent years, garnering a slew of accolades and honors around the globe with his mesmerizing, cinematic songwriting.

Since the release of his EP cold/mess in 2018, Prateek has extensively toured in support of the release. From selling out two tours in the US to playing across colleges and festivals in India, Prateek has become a certifiable success, while becoming one of the top streamed artists on Spotify when they launched in India.",Zee Entertainment Enterprises Ltd.,2019-12-12T14:30:00.000Z,2019-12-12T17:30:00.000Z,"Royal Palms, Pune","84/36, N Main Rd, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411001",INR 750-6500
6,https://insider.in/prashasti-singh-and-samay-raina-live-in-pune-nov14-2019/event,Prashasti Singh and Samay Raina - Live in Pune!,"See one of country's top comic, supported by a rising star who has recently brought comedy club audiences to its collective knees. Catch Prashasti Singh and Samay Raina - Live in Pune!About the Artists-Prashasti Singh - Prashasti Singh is a stand-up comic, writer, actor and improviser, who you've most recently seen in Amazon Prime Video's Comicstaan. She has been active in the Mumbai comedy circuit since 2015. She has 3 years of experience in improv comedy and 2 years in stand-up, performing across venues like Canvas Laugh Club, NCPA and the Cuckoo Club. Prior to comedy she has dabbled with theater and has performed at venues like Kamani auditorium in Delhi and Rangamandira in Bangalore. Prashasti has a degree in engineering from Delhi university and MBA from IIM Lucknow. She has worked with a Television Broadcast company for 4 years understanding and creating content for the heartland consumer.Modesty is clearly not her forte.Samay Raina - Samay Raina is a very secular Kashmiri Pandit born in Jammu, living in Pune having studied in Hyderabad after moving from Delhi. He is hilarious and his idiosyncratic style of delivery makes him even funnier.",Spade Entertainment,2019-11-14T14:30:00.000Z,2019-11-14T16:00:00.000Z,Spade Comedy Club,"Kogobo Resto Bar & Banquet Baner, 4th Floor, The Mint, Opp. Kapil Malhar Society, Aundh - Baner Link Road, Riviresa Society, Baner, Pune, Maharashtra 411045",INR 499-499
7,https://insider.in/making-money-for-my-kids-by-sorabh-pant--nov15-2019/event,Making Money For My Kids by Sorabh Pant ,Sorabh Pant tries new jokes to try and make money for his kids. ,OML,2019-11-15T14:30:00.000Z,2019-11-15T15:50:00.000Z,Spade Comedy Club,"Kogobo Resto Bar & Banquet Baner, 4th Floor, The Mint, Opp. Kapil Malhar Society, Aundh - Baner Link Road, Riviresa Society, Baner, Pune, Maharashtra 411045",INR 299-399
8,https://insider.in/oktoberfest-drinkathon-carnival-10-oct12-2019/event,Oktoberfest Drinkathon Carnival 1.0,"Gypsy Soul in association with Independence Brewing Company presents:Oktoberfest Drinkathon Carnival 1.0Event Flow:Day 12:00 PM: Get stared. Chug chug chug......Deep dive into your favorite Independence Brewing Company's seasonal craft beers 5:00 - 6:00 PM: Drum-Strum-Hum. Get your hands on to something which may not feel nice to touch but definitely nice to hear and amazing to experience ;)6:00 - 7:30 PM: Free walk. Get started with playing the games out there, but before that indulge yourself into the liquid gold!7:30 - 10:00PM: Live performance by the craziest duo band - JoyDhaam where you gotta pour your energy more than the beer pouring into the glasses.Get your ass moving to the tune of the beer in your belly.11:30 Onward: Soft unplugged music session with late night Maggie at campfire (post dinner, if at all you have dinner). its now time to meet new people, share stories and bond like never before !Day 29:00-10:00 AM: Finding and getting all the old and new friends for Breakfast10:00 AM: See you until next time! CiaoInclusions:1. A pint of IBC craft beer2. Evening snacks3. Drum-Strum-Hum (community music circle)4. Live band performance by Joydhaam5. Unlimited Food6. Stay (Dens / Camping Tents)7. Day 2 Breakfast8.Endless Games9. Medical aid10.GST extra at 5%Exclusions:Anything not mentioned as part of “Inclusions”For further details contact +91 9158310049 ",Gypsy Soul,2019-11-16T08:30:00.000Z,2019-11-17T04:30:00.000Z,"Gypsy Soul, Pune","Panshet, Maharashtra 412107",INR 849-2199
9,https://insider.in/mentalism-special-by-suhani-shah-pune-nov16-2019/event,Mentalism Special by Suhani Shah: Pune,"Suhani Shah is one of the biggest name in Indian magic today. With wonderful skills in sleight of hand, mind reading, situational comedy and audience participation, she brings audiences to their feet. Having started at such an early age, Suhani has experience beyond her years. Her stylish, sophisticated and charismatic persona contains a generous dose of wit, intelligence and humour. Her unique performance style and off-beat approach to her art has won the hearts of millions across the globe.Being a magician and a professional hypnotherapist, Suhani Shah understands the way people think, behave and react in certain conditions. She has combined her learning of human behaviour and psychological techniques with the art of magic to create her whole new magic soiree where she reads peoples thoughts and carry out other feats which can broadly be referred to as mentalism.",OML,2019-11-16T13:00:00.000Z,2019-11-16T14:30:00.000Z,Classic Rock Kalyaninagar,"Mulik Capital, Kalyani Nagar, Pune, Maharashtra 411014",INR 499-499
